n_mels,window_type,window_length,oversampling,undersampling,smote,label_smearing,f_score,precision,recall,threshold,optimizer,epochs,batch_size
16,beats,33,,0.6,0.4,,0.18254513926782834,0.14858951243332585,0.2474673202614379,3,adam,40,64
16,beats,25,,0.6,0.4,,0.24632031622437625,0.2222625442439684,0.2935457516339869,3,adam,40,64
16,beats,13,,0.6,0.4,,0.2487093153759821,0.2457070707070707,0.2610702614379085,3,adam,40,64
16,beats,17,,0.6,0.4,,0.2171069937486988,0.1916663129898424,0.2678376906318083,3,adam,40,64
20,beats,9,,0.6,0.4,,0.2325492638369901,0.1589689550215866,0.4511982570806101,3,adam,40,64
20,beats,13,,0.6,0.4,,0.22939100055804865,0.183644549415932,0.3304330065359477,3,adam,40,64
20,beats,17,,0.6,0.4,,0.10178381146123082,0.07867686527106818,0.15718954248366013,3,adam,40,64
20,beats,17,,0.6,0.4,,0.2740212626613888,0.21207986295705594,0.4260348583877995,3,adam,40,64
20,beats,21,,0.6,0.4,,0.06452991452991452,0.10449735449735448,0.04930555555555555,3,adam,40,64
20,beats,21,,0.6,0.4,,0.16593409256652106,0.12983806317139648,0.2531181917211329,3,adam,40,64
20,beats,25,,0.6,0.4,,0.1137863431128563,0.25505050505050497,0.08110021786492375,3,adam,40,64
20,beats,33,,0.6,0.4,,0.1246799795186892,0.1849206349206349,0.09730392156862744,3,adam,40,64
20,beats,65,,0.6,0.4,,0.032407407407407406,0.1875,0.02022058823529412,3,adam,40,64
20,beats,9,,,,plus/minus 2,0.18878205128205128,0.5861111111111111,0.12337962962962964,3,adam,40,64
20,beats,13,,,,plus/minus 2,0.20054281467324944,0.3167388167388167,0.1479983660130719,3,adam,40,64
20,beats,17,,,,plus/minus 2,0.11502525252525253,0.1722222222222222,0.08750000000000001,3,adam,40,64
20,beats,21,,,,plus/minus 2,0.12410335236422193,0.2916666666666667,0.09305555555555556,3,adam,40,64
20,beats,25,,,,plus/minus 2,0.1856729365501296,0.3666666666666667,0.12762799564270152,3,adam,40,64
20,beats,33,,,,plus/minus 2,0.14607100415923946,0.195436507936508,0.11891339869281048,3,adam,40,64
20,beats,65,,,,plus/minus 2,0.0835978835978836,0.3333333333333333,0.048543028322440084,3,adam,40,64
24,beats,9,,,,plus/minus 2,0.1943553178847296,0.4777777777777778,0.12632080610021787,3,adam,40,64
24,beats,13,,,,plus/minus 2,0.1648185148185148,0.3003968253968254,0.11782407407407408,3,adam,40,64
24,beats,17,,,,plus/minus 2,0.06386110449577942,0.10482804232804233,0.0479983660130719,3,adam,40,64
24,beats,17,,,,plus/minus 2,0.11919191919191915,0.2779761904761905,0.07762799564270152,3,adam,40,64
24,beats,25,,,,plus/minus 2,0.0887390043736793,0.2638888888888889,0.05486111111111111,3,adam,40,64
24,beats,25,,,,plus/minus 2,0.2353155616313511,0.4,0.17754629629629629,3,adam,40,64
24,beats,33,,,,plus/minus 2,0.21432052353104986,0.4543650793650794,0.1442946623093682,3,adam,40,64
24,beats,65,,,,plus/minus 2,0.15296211543351132,0.21084656084656084,0.12392429193899784,3,adam,40,64
24,beats,9,,0.6,0.4,,0.2107103642757293,0.14588796871405565,0.405582788671024,3,adam,40,64
24,beats,13,,0.6,0.4,,0.13311251920122888,0.14742063492063492,0.12223583877995645,3,adam,40,64
24,beats,17,,0.6,0.4,,0.2794027888341721,0.20227153483997107,0.4617647058823529,3,adam,40,64
24,beats,21,,0.6,0.4,,0.1276188999974166,0.1309942780531016,0.12810457516339868,3,adam,40,64
24,beats,25,,0.6,0.4,,0.18757343447745925,0.1967248437836673,0.18382352941176472,3,adam,40,64
24,beats,33,,0.6,0.4,,0.12927371541501978,0.16059472934472935,0.11883169934640525,3,adam,40,64
24,beats,65,,0.6,0.4,,0.18564500217423754,0.20886752136752126,0.17732843137254906,3,adam,40,64
24,beats,9,,0.6,,,0.1318875495704764,0.10737891737891736,0.17261710239651418,3,adam,40,64
24,beats,13,,0.6,,,0.21423553318267727,0.1688321385902031,0.3319716775599129,3,adam,40,64
24,beats,17,,0.6,,,0.2519834492936959,0.18789813457152169,0.3899918300653595,3,adam,40,64
24,beats,13,,0.6,,,0.18816137566137567,0.17381493506493506,0.23080065359477125,3,adam,40,64
24,beats,25,,0.6,,,0.06734006734006734,0.4166666666666667,0.03688725490196079,3,adam,40,64
24,beats,33,,0.6,,,0.17171530774471944,0.17593073593073594,0.1903050108932461,3,adam,40,64
24,beats,25,,0.6,,,0.1278239634761374,0.1301800051800052,0.1337962962962963,3,adam,40,64
24,beats,65,,0.6,,,0.08574505317000942,0.17857142857142858,0.06397058823529413,3,adam,40,64
24,beats,17,,0.6,0.2,,0.2199564535605888,0.1571984063595638,0.3807325708061001,3,adam,40,64
24,beats,17,,0.4,0.3,,0.1979213106664087,0.14968577174459527,0.304125816993464,3,adam,40,64
32,beats,9,,0.6,0.4,,0.20772389027201946,0.17867438867438867,0.2947031590413944,3,adam,40,64
32,beats,13,,0.6,0.4,,0.2331898707129184,0.19170329670329667,0.3246459694989107,3,adam,40,64
32,beats,17,,0.6,0.4,,0.2536311657279399,0.2275735294117647,0.30241013071895423,3,adam,40,64
32,beats,21,,0.6,0.4,,0.2905511894873597,0.2271362857101397,0.4416938997821351,3,adam,40,64
32,beats,25,,0.6,0.4,,0.13543110578705686,0.1803030303030303,0.11560457516339867,3,adam,40,64
32,beats,33,,0.6,0.4,,0.191904759287137,0.1624025341130604,0.2673747276688453,3,adam,40,64
32,beats,65,,0.6,0.4,,0.08647486772486772,0.10069444444444443,0.07986111111111112,3,adam,40,64
64,beats,9,,0.6,0.4,,0.16958428680396642,0.1317804077055549,0.2630718954248365,3,adam,40,64
64,beats,13,,0.6,0.4,,0.05714285714285716,0.06111111111111112,0.05416666666666667,3,adam,40,64
64,beats,17,,0.6,0.4,,0.2947000167588402,0.24715973068375816,0.388834422657952,3,adam,40,64
64,beats,21,,0.6,0.4,,0.16933574027502415,0.1284646962233169,0.2572712418300654,3,adam,40,64
64,beats,25,,0.6,0.4,,0.1475600126715745,0.17760180995475114,0.1394607843137255,3,adam,40,64
64,beats,65,,0.6,0.4,,0.06796906796906797,0.18055555555555555,0.04375,3,adam,40,64
64,beats,33,,0.6,0.4,,0.07792207792207793,0.15,0.052941176470588235,3,adam,40,64
24,beats,17,,0.6,0.4,,0.08534688995215313,0.4444444444444445,0.0479983660130719,3,adam,40,64
24,beats,17,,0.6,0.4,,0.15020859668205114,0.14404821757762934,0.16058006535947714,3,adam,40,64
24,beats,17,,0.6,0.4,,0.18666529830322934,0.1595374431448993,0.2370506535947713,3,adam,40,64
24,beats,17,,0.3,0.2,,0.16627661817415135,0.15926897176897178,0.1760893246187364,3,adam,40,64
24,beats,17,,0.6,,,0.13466750052115908,0.13060185185185186,0.15981753812636168,3,adam,40,64
24,beats,17,,0.4,,,0.22617738520050645,0.17656670137047595,0.3659177559912854,3,adam,40,64
24,beats,17,,0.2,,,0.20230872836939653,0.16531647746818026,0.27696078431372545,3,adam,40,64
24,beats,17,,0.1,,,0.0,0.0,0.0,3,adam,40,64
24,beats,17,,0.2,,,0.17785763619096953,0.20159932659932656,0.16821895424836594,3,adam,40,64
24,beats,17,,0.2,0.2,,0.15263748597081928,0.3757575757575757,0.1079656862745098,3,adam,40,64
24,beats,17,,0.4,0.2,,0.2078839370506037,0.24461279461279464,0.1946078431372549,3,adam,40,64
64,beats,17,,0.6,0.2,,0.22743326118326115,0.2337724911254323,0.22802287581699346,3,adam,40,64
64,beats,17,,0.6,0.5,,0.1855884855884856,0.1794325340377972,0.2323393246187364,3,adam,40,64
64,beats,17,,0.7,,,0.1643687707641196,0.16296296296296295,0.19082244008714602,3,adam,40,64
64,beats,17,,0.4,,,0.05681818181818182,0.0992063492063492,0.039828431372549024,3,adam,40,64
64,beats,9,,0.4,,,0.1094871794871795,0.13240740740740742,0.09591503267973857,3,adam,40,64
64,beats,9,,0.1,,,0.0,0.0,0.0,3,adam,40,64
80,bars,,,,,+/- 1,0.6320006739046986,0.8079545454545455,0.5387573537573538,3,adam,50,32
80,bars,,,,,+/- 1,0.5714004049512981,0.6378678375001904,0.5395718423139918,3,adam,50,32
80,bars,,,,,+/- 1,0.5762473014669729,0.6451320942129766,0.545298846136418,3,adam,50,32
80,bars,,,,,+/- 1,0.5492352092352092,0.6913888888888889,0.4724153624153625,3,adam,50,32
80,bars,,,,,+/- 1,0.4162721592133357,0.5264285714285715,0.3713453213453214,3,adam,50,32
80,bars,,,,,+/- 1,0.4561178346936861,0.6040873015873015,0.39502830502830505,3,adam,50,32
80,bars,,,,,+/- 1,0.27632028789923524,0.4828571428571429,0.2150829725829725,3,adam,50,32
80,bars,,,,,+/- 1,0.4873015873015872,0.644047619047619,0.413522866022866,3,adam,50,32
80,bars,,,,,+/- 1,0.5569823141367091,0.6974819624819626,0.4817407592407593,3,adam,50,32
80,bars,9.0,,,,+/- 1,0.5188491315671959,0.6480555555555556,0.4601787101787102,3,adam,50,32
80,bars,9.0,,,,+/- 1,0.4675229741019215,0.7375,0.3773118548118548,3,adam,50,32
80,bars,33.0,,,,+/- 1,0.5717512767590167,0.8556349206349207,0.4631418581418581,3,adam,50,32
80,bars,33.0,,,,+/- 1,0.6668874984664457,0.8166883116883117,0.5880899655899655,3,adam,50,32
80,bars,5.0,,,,+/- 1,0.07469696969696969,0.2,0.047619047619047616,3,adam,50,32
80,bars,5.0,,,,+/- 1,0.0,0.0,0.0,3,adam,50,32
80,bars,65.0,,,,+/- 1,0.5961753932342166,0.799047619047619,0.4970185370185371,3,adam,50,32
80,bars,65.0,,,,+/- 1,0.5598908934203052,0.8833333333333332,0.4322591297591297,3,adam,50,32
80,bars,65.0,,,,+/- 1,0.6637371615312789,0.8608333333333335,0.5671375846375846,3,adam,50,32
80,bars,65.0,,,,+/- 1,0.5263238129259802,0.7671428571428571,0.4145174270174271,3,adam,50,32
80,bars,65.0,,,,+/- 1,0.5805061295773369,0.8633333333333333,0.4470210345210345,3,adam,50,32
80,bars,17.0,,,,+/- 1,0.5208087526508579,0.6729545454545455,0.44767510267510263,3,adam,50,32
